# Nombre: Ingrid Martinez
# Tarea: RightFist
# Tipo: Thinking
# Fecha: 2025-04-08 17:32:24
# DuraciÃ³n: 20
Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
368283.9161223,0.0011223548351986,-0.0003469572059854,0.0002574082810445,-1.499609213340273e-05
368283.9261223,0.0018102638141101364,-0.00041190919256340263,0.0005844973368063302,1.4288620936220138e-05
368283.9361223001,0.0021746570855282294,-0.0004408870559630176,0.0007581295161358006,2.2447323359918788e-05
368283.94612230005,0.0024993110816037218,-0.0004526258517423329,0.0009133061555493979,2.232731525935987e-05
368283.95612230006,0.0027784678225148715,-0.00043409628056389533,0.0010477571152516091,1.8621732179332954e-05
368283.9661223001,0.0029963407900765924,-0.0003676337877920505,0.0011547810415801958,2.0595093199394046e-05
368283.9761223001,0.0031333304065297753,-0.00023767253338561375,0.0012262277927624072,4.061610151826236e-05
368284.1755153,0.00316934030486903,-3.9162443881440016e-05,0.0012540468493355615,8.929878180941686e-05
368284.1855153,0.00308701397550372,0.00021561311294904736,0.0012317225597142307,0.00016873832618671206
368284.1955153,0.002874742321636051,0.0004955888442716457,0.001155525084326643,0.00026710194366834903
368284.2055153,0.0025290762768488103,0.0007563370866718144,0.0010254200614095196,0.00035833213139076036
368284.2155153001,0.002056273155176915,0.000950511907171533,0.0008455364725768287,0.00040898386769553003
368284.22551530006,0.0014728423553541673,0.0010392001021475247,0.0006241627410817953,0.0003907373793035484
368284.23551530007,0.0008050757553531493,0.0010001370799359135,0.0003732985170465298,0.0002936341183538685
368284.2455153001,8.763918488437141e-05,0.0008308219768945768,0.0001078299693962725,0.00013363067469766263
368284.4359983,-0.0006386325676880402,0.0005471071401054745,-0.00015557776721516976,-5.015789499642604e-05
368284.4459983,-0.001329547409483947,0.0001792800300152136,-0.00039976293426426156,-0.00020861433776465495
368284.4559983,-0.0019407516319735149,-0.0002325231621476415,-0.0006084108681704153,-0.00030105418341835156
368284.4659983,-0.002431066926564979,-0.0006427903734066375,-0.0007673477942995614,-0.0003107373222479648
368284.4759983,-0.0027657172523333443,-0.0010049826731192495,-0.0008656814354997021,-0.0002502829718535903
368284.4859983,-0.002919195780880637,-0.0012757704920989227,-0.0008966984028601096,-0.0001546957038861474
368284.4959983,-0.0028775376389062646,-0.0014189265721938145,-0.0008584471259559635,-6.57683488726588e-05
368284.5059983,-0.002639798640654639,-0.001408793806517269,-0.0007539590103386442,-1.5443365727677622e-05
368284.6980554,-0.0022185942616163496,-0.0012337201684175431,-0.0005910880900234906,-1.5418221994374926e-05
368284.7080554,-0.0016396232751699222,-0.0008998873976956742,-0.0003819788347014549,-5.650624985037241e-05
368284.7180554,-0.0009401812560854803,-0.00043502419690642357,-0.0001422006530203518,-0.00011633774213659985
368284.7280554,-0.000166751736686421,0.00010992247085216166,0.00011038634834530434,-0.00017042652892128822
368284.7380554,0.0006281613241299968,0.0006637774270728075,0.00035694779538324775,-0.0002009664117508646
368284.7480554,0.00138973027346037,0.0011445359964801435,0.0005790705540435281,-0.00019994028570664388
368284.7580554001,0.002064749080218229,0.001474643415916794,0.0007601268410419281,-0.0001667490829480215
368284.76805540005,0.002605520274439608,0.0015988300322164733,0.0008865000146037765,-0.00010349156222559627
368284.9709058,0.002973378733872523,0.0014990445887739596,0.0009485770219054236,-1.1741025263073204e-05
368284.9809058,0.0031415732452392837,0.001200794180165755,0.0009414315731538238,0.00010692853010989141
